order_number,well_number,approval_date,year
130830.0,119,1977-05-10,1977
130830.0,118,1977-05-10,1977
570004.0,122,2009-09-03,2009
92152.0,123,1972-07-19,1972
402127.0,1,1996-05-24,1996
215688.0,2,1982-05-12,1982
215687.0,4,1982-05-12,1982
558699.0,55,2008-08-28,2008
415366.0,1-6,1997-08-22,1997
497512.0,1-14,2004-11-12,2004
566956.0,1-15,2009-04-13,2009
495787.0,3-1,2004-10-04,2004
495800.0,7,2004-10-04,2004
567565.0,5-3,2009-05-08,2009
270629.0,6,1984-12-21,1984
396466.0,2,1995-10-19,1995
63614.0,2,1966-09-13,1966
417745.0,6,1997-11-07,1997
74360.0,5,1969-06-05,1969
45706.0,1,1961-06-09,1961
1701100036.0,1,2016-09-22,2016
118922.0,1,1976-02-06,1976
91401.0,57-1,1972-06-07,1972
91401.0,59-3,1972-06-07,1972
