well_number,latitude,longitude,zone
11-1A,34.9509834,-98.2050288,"HOXBAR, PERMIAN "
1-9,34.9157335,-98.1495055,MARCHAND
56G-2,35.2923482,-98.2776876,MARCHAND
44GI-2,35.3003343,-98.3210094,MARCHAND
13G-2,35.323028,-98.3068215,MARCHAND
23GI-2,35.3131899,-98.3141607,MARCHAND
21GI-2,35.3144412,-98.3260159,MARCHAND
8-3,34.9211666,-98.1601111,"FORTUNA, NOBLE, OLSON"
1,34.8961794,-98.1286204,"CISCO, NOBLE OLSON"
A6,34.9664057,-98.2544934,FORTUNA
1-8,35.3590681,-98.2835961,MARCHAND
11,34.9623097,-98.2411808,FORTUNA
6-21,34.9482623,-98.2101851,"GARBER, PERMIAN"
7-24,34.9446283,-98.2058428,"GARBER, PERMIAN"
7-25,34.948255,-98.2058162,"GARBER, PERMIAN"
5-14,34.9463273,-98.2168886,PERMIAN
9-14,34.9499476,-98.2213309,"HOXBAR, PERMIAN "
7-30,34.9446122,-98.1970297,"GARBER, PERMIAN"
8-11,34.9446205,-98.2014385,"GARBER, PERMIAN"
4,35.1202799,-98.1306442,HOXBAR
9,35.1131084,-98.1393859,HOXBAR
17,34.962429,-98.2437856,FORTUNA
A-8,34.959539,-98.2213096,FORTUNA
7,34.9650154,-98.2632879,FORTUNA
8,34.9663246,-98.2651248,FORTUNA
10,34.9589577,-98.2411879,PERMIAN
14,35.1257058,-98.1409017,HOXBAR
16,35.06387,-98.07296,HOXBAR
5-1A,34.9368777,-98.1743364,HENNESSEY
102,34.9655198,-98.2509852,"FORTUNA, NOBLE, OLSON"
107,34.9638287,-98.246573,"FORTUNA, NOBLE, OLSON"
104,34.9634911,-98.248941,"FORTUNA, NOBLE, OLSON"
105,34.9618151,-98.2509698,"FORTUNA, NOBLE, OLSON"
109,34.960002,-98.2424858,FORTUNA
108,34.9573367,-98.2457787,"FORTUNA, NOBLE, OLSON"
1SWD,34.8713268,-98.3539529,HUNTON
37-3H,35.3077102,-98.3182478,MARCHAND
24,35.1124936,-98.1547975,HOXBAR
26,35.1228336,-98.160846,HOXBAR
1-26,35.0481961,-98.2268547,PERMIAN
1 SWDW,35.347852,-98.588419,DUNCAN
6-24,34.9488463,-98.2111639,"HOXBAR, PERMIAN "
5-15,34.9477019,-98.21967,"HOXBAR, PERMIAN "
2,34.8951283,-98.128491,"CISCO, NOBLE OLSON "
1-5 SWD,0.0,0.0,"SHAWNEE, DOUGLAS"
1,34.9496517,-98.1200328,FORTUNA
     1,34.9517394,-98.1138012,FORTUNA
1,34.9495946,-98.1708239,GARBER
1,34.9446009,-98.1926255,FORTUNA
B1,34.9663664,-98.2234777,FORTUNA
5-7,34.9662886,-98.1992211,FORTUNA
3,34.9609679,-98.2455888,FORTUNA
5,34.58205,-98.1447,FORTUNA
4,34.9699968,-98.2345562,FORTUNA
